,wage
546,0.84
547,0.36
548,0.16
549,0.24
550,0.0
551,0.0
552,0.52
553,0.24
554,0.56
555,0.32
556,0.32
557,0.76
558,0.6
559,0.0
560,0.04
561,0.0
562,0.6
563,0.08
564,0.0
565,0.0
566,0.48
567,0.08
568,0.56
569,0.0
570,0.64
571,0.08
572,0.32
573,0.04
574,0.8
575,0.52
576,0.2
577,0.4
578,0.88
579,0.72
580,0.08
581,0.56
582,0.76
583,0.0
584,0.0
585,0.28
586,0.56
587,0.68
588,0.0
589,0.0
590,0.0
591,0.24
592,0.6
593,0.0
594,0.72
595,0.0
596,0.0
597,0.44
598,0.56
599,0.0
600,0.52
601,0.04
602,0.04
603,0.68
604,0.0
605,0.0
606,0.0
607,0.4
608,0.0
609,0.0
610,0.48
611,0.84
612,0.0
613,0.0
614,0.32
615,0.16
616,0.0
617,0.52
618,0.28
619,1.0
620,0.4
621,0.0
622,0.0
623,0.08
624,0.2
625,1.0
626,0.4
627,0.88
628,0.24
629,0.24
630,0.0
631,0.0
632,0.28
633,0.0
634,0.08
635,0.92
636,0.2
637,0.04
638,0.24
639,0.0
640,0.12
641,0.0
642,0.64
643,0.96
644,0.0
645,0.28
646,0.0
647,0.36
648,0.04
649,0.0
650,0.04
651,0.0
652,0.44
653,0.24
654,0.4
655,0.0
656,0.64
657,0.0
658,0.12
659,0.0
660,0.24
661,0.16
662,0.04
663,0.0
664,0.12
665,0.12
666,0.32
667,0.12
668,0.2
669,0.24
670,0.0
671,0.04
672,0.2
673,0.88
674,0.0
675,0.0
676,0.36
677,0.04
678,0.0
679,0.96
680,0.24
681,0.04
682,0.28
683,0.48
684,0.4
685,0.16
686,0.4
687,0.0
688,0.24
689,0.28
690,0.28
691,0.0
692,1.0
693,0.16
694,0.52
695,0.0
696,0.0
697,0.0
698,0.56
699,0.96
700,0.24
701,0.8
702,0.52
703,0.0
704,0.0
705,0.0
706,0.28
707,0.0
708,0.44
709,0.84
710,0.44
711,0.24
712,0.16
713,0.04
714,0.24
715,0.52
716,0.08
717,0.0
718,0.76
719,0.96
720,0.16
721,0.68
722,0.12
723,0.2
724,0.04
725,0.32
726,0.84
727,0.0
728,0.0
729,0.08
730,0.08
731,0.32
732,0.68
733,0.0
734,0.0
735,0.28
736,0.32
737,0.64
738,0.0
739,0.04
740,0.08
741,0.28
742,0.32
743,0.52
744,0.0
745,0.0
746,0.28
747,0.28
748,0.52
749,0.24
750,0.8
751,0.68
752,0.0
753,0.24
754,0.36
755,0.16
756,0.04
757,0.04
758,0.48
759,0.28
760,0.04
761,0.44
762,0.08
763,0.0
764,0.0
765,0.0
766,0.0
767,0.0
768,0.0
769,0.64
770,0.0
771,0.0
772,0.0
773,0.0
774,0.4
775,0.6
776,0.92
777,0.04
778,0.12
779,0.0
780,0.0
781,0.48
782,0.44
783,0.04
784,0.6
785,0.92
786,0.48
787,0.2
788,0.16
789,0.0
790,0.48
791,0.0
792,0.0
793,0.0
794,0.52
795,0.4
796,0.24
797,0.6
798,0.2
799,0.32
800,0.0
801,0.16
802,0.28
803,0.2
804,0.16
805,0.16
806,0.08
807,1.0
808,0.0
809,0.0
810,0.2
811,0.04
812,0.28
813,0.24
814,0.08
815,0.68
816,0.12
817,0.0
818,0.0
819,0.44
820,0.04
821,0.0
822,0.0
823,0.04
824,0.36
825,0.08
826,0.04
827,0.0
828,0.44
829,0.88
830,0.6
831,0.08
832,0.52
833,0.08
834,0.36
835,0.0
836,0.16
837,0.04
838,0.04
839,0.12
840,0.16
841,0.0
842,0.0
843,0.68
844,0.0
845,0.0
846,0.72
847,0.4
848,0.64
849,0.0
850,0.0
851,1.0
852,0.0
853,0.52
854,0.04
855,0.36
856,0.08
857,0.2
858,0.76
859,0.08
860,0.0
861,0.44
862,0.0
863,0.24
864,0.0
865,0.0
866,0.6
867,0.16
868,0.6
869,0.0
870,0.44
871,0.08
872,0.48
873,0.08
874,0.0
875,0.4
876,0.12
877,0.0
878,0.8
879,0.8
880,0.0
881,0.12
882,1.0
883,0.0
884,0.28
885,0.88
886,0.04
887,0.64
888,0.16
889,0.72
890,0.0
891,0.16
892,0.68
893,0.0
894,0.6
895,0.0
896,0.16
897,0.68
898,0.0
899,0.76
900,0.52
901,0.64
902,0.0
903,0.0
904,0.0
905,0.84
906,0.32
907,0.2
908,0.56
909,0.52
910,0.0
911,0.04
912,0.32
913,0.0
914,0.68
915,0.0
916,0.32
917,0.48
918,0.56
919,0.0
920,0.44
921,0.76
922,0.68
923,0.36
924,0.0
925,0.08
926,0.04
927,0.2
928,0.2
929,0.04
930,0.0
931,0.6
932,0.24
933,0.0
934,0.52
935,0.32
936,0.0
937,0.4
938,0.08
939,0.0
940,0.36
941,0.6
942,0.0
943,0.24
944,0.0
945,0.76
946,0.08
947,0.0
948,0.16
949,0.0
950,0.04
951,0.0
952,0.28
953,0.04
954,0.36
955,0.0
956,0.16
957,0.56
958,0.68
959,0.4
960,0.0
961,0.0
962,0.0
963,0.0
964,0.56
965,0.0
966,0.0
967,0.32
968,0.12
969,0.0
970,0.32
971,0.92
972,0.16
973,0.08
974,0.04
975,0.0
976,0.0
977,0.84
978,0.36
979,0.84
980,0.52
981,0.0
982,0.0
983,0.36
984,0.44
985,0.32
986,0.4
987,0.12
988,0.0
989,0.0
990,0.72
991,0.96
992,1.0
993,0.64
994,0.24
995,0.0
996,0.0
997,0.0
998,0.8
999,0.08
1000,0.0
1001,0.24
1002,0.0
1003,0.04
1004,0.16
1005,0.48
1006,0.6
1007,0.12
1008,0.84
1009,0.12
1010,0.04
1011,0.08
1012,0.84
1013,0.0
1014,0.16
1015,0.44
1016,0.64
1017,0.36
1018,0.36
1019,0.48
1020,0.64
1021,0.0
1022,0.2
1023,0.04
1024,0.0
1025,0.96
1026,0.0
1027,0.36
1028,0.0
1029,0.0
1030,0.0
1031,0.36
1032,0.48
1033,0.32
1034,0.0
1035,0.0
1036,0.28
1037,0.0
1038,0.16
1039,0.0
1040,0.96
1041,0.72
1042,0.24
1043,0.0
1044,0.0
1045,0.92
1046,0.36
1047,0.44
1048,0.0
1049,0.04
1050,0.44
1051,0.56
1052,0.76
1053,0.04
1054,0.32
1055,0.76
1056,0.0
1057,0.72
1058,0.08
1059,0.0
1060,0.08
1061,0.0
1062,0.0
1063,0.04
1064,0.04
1065,0.08
1066,0.64
1067,0.0
1068,0.76
1069,0.84
1070,0.32
1071,0.0
1072,0.12
1073,0.0
1074,0.96
1075,0.88
1076,0.0
1077,0.36
1078,0.56
1079,0.2
1080,0.0
1081,0.0
1082,0.52
1083,0.28
1084,0.0
1085,0.0
1086,0.96
1087,0.4
1088,0.0
1089,0.48
1090,0.76
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.52
1097,0.8
1098,0.8
1099,0.04
1100,0.0
1101,0.36
1102,0.28
1103,0.0
1104,0.0
1105,0.12
1106,0.0
1107,0.0
1108,0.32
1109,0.04
1110,0.92
1111,0.44
1112,0.92
1113,0.72
1114,0.0
1115,0.2
1116,0.0
1117,0.08
1118,0.28
1119,0.4
1120,0.08
1121,0.36
1122,0.92
1123,0.12
1124,0.12
1125,0.16
1126,0.32
1127,0.24
1128,0.0
1129,0.08
1130,0.44
1131,1.0
1132,0.16
1133,0.0
1134,0.0
1135,0.0
1136,0.2
1137,0.04
1138,0.2
1139,0.0
1140,0.48
1141,0.28
1142,0.0
1143,0.08
1144,0.08
1145,0.0
1146,0.0
1147,0.0
1148,0.52
1149,0.0
1150,0.0
1151,0.64
1152,0.24
1153,0.4
1154,1.0
1155,0.08
1156,0.04
1157,0.96
1158,1.0
1159,0.0
1160,0.4
1161,0.24
1162,0.08
1163,0.16
1164,0.0
1165,0.16
1166,0.04
1167,0.04
1168,0.28
1169,0.36
1170,0.92
1171,0.08
1172,0.16
1173,0.56
1174,0.04
1175,0.0
1176,0.0
1177,0.0
1178,0.12
1179,0.0
1180,0.08
1181,0.04
1182,0.6
1183,0.12
1184,0.28
1185,0.0
1186,0.32
1187,0.28
1188,0.28
1189,0.0
1190,0.76
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.04
1196,0.32
1197,0.0
1198,0.12
1199,0.24
1200,0.28
1201,0.08
1202,0.84
1203,0.08
1204,0.6
1205,0.0
1206,0.6
1207,0.0
1208,0.08
1209,0.0
1210,0.0
1211,0.24
1212,0.76
1213,0.0
1214,0.52
1215,0.0
1216,0.32
1217,0.16
1218,0.76
1219,0.04
1220,0.0
1221,0.4
1222,0.96
1223,0.12
1224,0.04
1225,0.0
1226,0.64
1227,1.0
1228,0.2
1229,0.56
1230,0.0
1231,0.12
1232,0.0
1233,0.4
1234,0.0
1235,0.0
1236,0.76
1237,0.2
1238,0.32
1239,0.64
1240,0.72
1241,0.56
1242,0.0
1243,0.16
1244,0.0
1245,0.56
1246,0.04
1247,0.0
1248,0.0
1249,0.8
1250,0.8
1251,0.0
1252,0.0
1253,0.24
1254,0.36
1255,0.0
1256,0.12
1257,0.44
1258,0.0
1259,0.0
1260,0.4
1261,0.2
1262,0.24
1263,0.32
1264,0.04
1265,0.0
1266,0.32
1267,0.0
1268,0.92
1269,0.24
1270,0.16
1271,0.12
1272,0.0
1273,0.96
1274,0.0
1275,0.24
1276,0.16
1277,0.52
1278,0.04
1279,0.04
1280,0.04
1281,0.56
1282,0.0
1283,0.0
1284,0.04
1285,0.04
1286,0.32
1287,0.0
1288,0.16
1289,0.68
1290,0.56
1291,0.0
1292,0.16
1293,0.08
1294,1.0
1295,0.12
1296,0.52
1297,0.08
1298,0.0
1299,0.0
1300,0.0
1301,0.16
1302,0.0
1303,0.0
1304,0.08
1305,0.0
1306,0.0
1307,0.52
1308,0.0
1309,0.04
1310,0.24
1311,0.36
1312,0.12
1313,0.16
1314,0.8
1315,0.0
1316,0.0
1317,0.28
1318,0.0
1319,0.68
1320,0.24
1321,0.12
1322,0.0
1323,0.96
1324,0.12
1325,0.12
1326,0.68
1327,0.0
1328,0.84
1329,0.4
1330,0.8
1331,0.56
1332,0.0
1333,0.08
1334,0.2
1335,0.24
1336,0.64
1337,0.0
1338,0.0
1339,0.0
1340,0.52
1341,0.64
1342,0.2
1343,0.88
1344,0.2
1345,0.76
1346,0.36
1347,0.08
1348,0.8
1349,0.0
1350,0.0
1351,0.48
1352,0.16
1353,0.0
1354,0.64
1355,0.12
1356,0.0
1357,0.56
1358,0.12
1359,0.96
1360,0.92
1361,0.24
1362,0.0
1363,0.96
1364,0.32
1365,0.0
1366,0.28
1367,0.0
1368,0.0
1369,0.28
1370,0.56
1371,0.32
1372,0.04
1373,0.2
1374,0.0
1375,0.44
1376,0.32
1377,0.0
1378,0.68
1379,0.92
1380,0.6
1381,0.12
1382,0.04
1383,0.0
1384,0.2
1385,0.0
1386,0.12
1387,0.28
1388,0.36
1389,0.48
1390,0.08
1391,0.0
1392,0.28
1393,0.0
1394,0.0
1395,0.56
1396,0.0
1397,0.2
1398,0.24
1399,0.36
1400,0.72
1401,0.04
1402,0.88
1403,0.24
1404,0.0
1405,0.24
1406,0.16
1407,0.68
1408,0.08
1409,1.0
1410,0.0
1411,0.44
1412,0.16
1413,0.72
1414,0.08
1415,0.04
1416,0.0
1417,0.0
1418,1.0
1419,0.0
1420,0.56
1421,0.2
1422,0.0
1423,0.0
1424,0.08
1425,0.6
1426,0.24
1427,0.0
1428,0.72
1429,0.76
1430,0.32
1431,0.2
1432,0.04
1433,0.04
1434,0.08
1435,0.0
1436,0.0
1437,0.6
1438,0.0
1439,0.68
1440,0.12
1441,0.32
1442,0.36
1443,0.8
1444,0.24
1445,0.0
1446,0.28
1447,0.48
1448,0.04
1449,0.76
1450,0.16
1451,0.0
1452,0.16
1453,0.0
1454,0.36
1455,0.0
1456,0.28
1457,0.28
1458,0.68
1459,0.72
1460,0.48
1461,0.04
1462,0.12
1463,0.0
1464,0.72
1465,0.0
1466,0.08
1467,0.52
1468,0.64
1469,0.12
1470,0.0
1471,0.12
1472,0.76
1473,0.2
1474,0.0
1475,0.16
1476,0.04
1477,0.96
1478,0.8
1479,0.56
1480,0.0
1481,0.04
1482,0.0
1483,0.08
1484,0.2
1485,0.28
1486,0.88
1487,0.44
1488,0.12
1489,0.0
1490,0.28
1491,0.04
1492,0.0
1493,0.4
1494,0.4
1495,0.0
1496,0.68
1497,0.92
1498,0.2
1499,0.16
1500,0.0
1501,0.0
1502,0.08
1503,0.0
1504,0.52
1505,0.44
1506,0.56
1507,0.52
1508,0.04
1509,0.0
1510,0.16
1511,0.44
1512,0.36
1513,0.56
1514,0.16
1515,0.8
1516,0.36
1517,0.84
1518,0.0
1519,0.08
1520,0.68
1521,0.32
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.6
1527,0.0
1528,0.12
1529,0.04
1530,0.0
1531,0.72
1532,0.0
1533,0.16
1534,0.36
1535,0.0
1536,0.52
1537,0.04
1538,0.88
1539,0.0
1540,0.04
1541,0.0
1542,0.08
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.08
1549,0.0
1550,0.0
1551,0.28
1552,0.0
1553,0.0
1554,0.0
1555,0.32
1556,0.64
1557,0.92
1558,0.6
1559,0.64
1560,0.12
1561,0.04
1562,0.04
1563,0.4
1564,0.0
1565,0.84
1566,0.4
1567,0.12
1568,0.04
1569,0.0
1570,0.0
1571,0.04
1572,0.0
1573,0.0
1574,0.36
1575,0.08
1576,0.36
1577,0.0
1578,0.32
1579,0.4
1580,0.16
1581,0.12
1582,0.12
1583,0.0
1584,0.0
1585,0.04
1586,0.0
1587,0.2
1588,0.0
1589,0.0
1590,0.72
1591,0.0
1592,0.84
1593,0.0
1594,0.4
1595,0.08
1596,0.48
1597,0.0
1598,0.0
1599,0.0
1600,0.76
1601,0.0
1602,0.56
1603,0.0
1604,0.0
1605,0.0
1606,0.12
1607,0.0
1608,0.0
1609,0.08
1610,0.04
1611,0.24
1612,0.0
1613,0.48
1614,0.0
1615,0.12
1616,0.28
1617,0.0
1618,0.04
1619,0.04
1620,0.84
1621,0.36
1622,0.72
1623,0.4
1624,0.32
1625,0.0
1626,0.12
1627,0.16
1628,0.24
1629,0.56
1630,0.0
1631,0.68
1632,0.44
1633,0.0
1634,0.16
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.04
1640,0.2
1641,0.0
1642,0.08
1643,0.0
1644,0.0
1645,0.0
1646,0.04
1647,0.28
1648,0.0
1649,0.56
1650,0.32
1651,0.08
1652,0.0
1653,0.0
1654,0.56
1655,0.28
1656,0.16
1657,0.52
1658,0.0
1659,0.0
1660,0.0
1661,0.56
1662,0.0
1663,0.08
1664,0.0
1665,0.0
1666,0.24
1667,0.44
1668,0.0
1669,0.2
1670,0.0
1671,0.68
1672,0.0
1673,0.32
1674,0.0
1675,0.44
1676,0.28
1677,0.16
1678,0.08
1679,0.32
1680,0.68
1681,0.0
1682,0.0
1683,0.36
1684,0.0
1685,0.0
1686,0.16
1687,0.0
1688,0.0
1689,0.8
1690,0.0
1691,0.36
1692,0.36
1693,0.0
1694,0.04
1695,0.08
1696,0.2
1697,0.0
1698,0.72
1699,0.96
1700,0.08
1701,0.08
1702,0.04
1703,0.16
1704,0.2
1705,0.72
1706,0.72
1707,0.0
1708,0.48
1709,0.16
1710,0.8
1711,0.08
1712,0.32
1713,0.96
1714,0.16
1715,0.0
1716,0.8
1717,0.08
1718,0.08
1719,0.24
1720,0.6
1721,0.36
1722,0.0
1723,0.04
1724,0.48
1725,0.0
1726,0.68
1727,0.4
1728,0.84
1729,0.24
1730,0.0
1731,0.76
1732,0.16
1733,0.0
1734,0.2
1735,0.28
1736,0.52
1737,0.08
1738,0.0
1739,0.48
1740,0.4
1741,0.04
1742,0.0
1743,0.32
1744,0.12
1745,0.48
1746,0.52
1747,0.08
1748,0.24
1749,0.0
1750,0.16
1751,0.0
1752,0.24
1753,0.0
1754,0.0
1755,0.52
1756,0.04
1757,0.44
1758,0.84
1759,0.72
1760,0.04
1761,0.56
1762,0.12
1763,0.32
1764,0.24
1765,0.64
1766,0.0
1767,0.76
1768,0.0
1769,0.8
1770,0.44
1771,0.0
1772,0.32
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.4
1779,0.0
1780,0.12
1781,0.24
1782,0.44
1783,0.12
1784,0.24
1785,0.0
1786,0.44
1787,0.0
1788,0.0
1789,0.28
1790,0.0
1791,0.0
1792,0.0
1793,0.08
1794,0.32
1795,0.4
1796,0.0
1797,0.0
1798,0.52
1799,0.0
1800,0.28
1801,0.0
1802,0.16
1803,0.0
1804,0.92
1805,0.0
1806,0.28
1807,0.72
1808,0.72
1809,0.0
1810,0.0
1811,0.0
1812,0.28
1813,0.0
1814,0.68
1815,0.0
1816,0.0
1817,0.2
1818,0.2
1819,0.28
1820,0.08
1821,0.52
1822,0.6
1823,0.04
1824,0.96
1825,0.0
1826,0.4
1827,0.08
1828,0.04
1829,0.76
1830,0.44
1831,0.2
1832,0.04
1833,0.0
1834,0.04
1835,0.0
1836,0.0
1837,0.0
1838,0.6
1839,0.04
1840,0.92
1841,0.28
1842,0.0
1843,0.0
1844,0.64
1845,0.0
1846,0.92
1847,0.28
1848,0.52
1849,0.04
1850,0.04
1851,0.0
1852,0.04
1853,0.16
1854,0.0
1855,0.0
1856,0.12
1857,0.0
1858,0.08
1859,0.0
1860,0.0
1861,0.0
1862,0.16
1863,0.0
1864,0.08
1865,0.04
1866,0.0
1867,0.0
1868,0.36
1869,0.16
1870,0.12
1871,0.0
1872,0.0
1873,0.0
1874,0.56
1875,0.08
1876,0.0
1877,0.04
1878,0.0
1879,0.0
1880,0.48
1881,0.56
1882,0.76
1883,0.0
1884,0.76
1885,0.0
1886,0.04
1887,0.12
1888,0.08
1889,0.56
1890,0.52
1891,0.0
1892,0.92
1893,0.0
1894,0.0
1895,0.0
1896,1.0
1897,0.0
1898,0.04
1899,0.0
1900,0.28
1901,0.0
1902,0.0
1903,0.0
1904,0.68
1905,0.04
1906,0.04
1907,0.6
1908,0.0
1909,0.08
1910,0.44
1911,0.64
1912,0.08
1913,0.0
1914,0.0
1915,0.4
1916,0.68
1917,0.04
1918,0.36
1919,0.08
1920,0.24
1921,0.68
1922,0.0
1923,0.32
1924,0.96
1925,0.24
1926,0.0
1927,0.48
1928,0.0
1929,0.32
1930,0.48
1931,0.4
1932,0.8
1933,0.12
1934,0.08
1935,0.0
1936,0.28
1937,0.2
1938,0.0
1939,0.12
1940,0.12
1941,0.68
1942,0.24
1943,0.2
1944,0.0
1945,0.88
1946,0.6
1947,0.0
1948,0.0
1949,0.0
1950,0.64
1951,0.48
1952,0.08
1953,0.16
1954,0.12
1955,0.0
1956,0.08
1957,0.52
1958,0.0
1959,0.0
1960,0.48
1961,0.0
1962,0.48
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.88
1968,0.0
1969,0.0
1970,0.96
1971,0.6
1972,0.92
1973,0.52
1974,0.08
1975,0.16
1976,0.76
1977,0.0
1978,0.32
1979,0.76
1980,0.96
1981,0.72
1982,0.04
1983,0.24
1984,0.08
1985,0.4
1986,0.04
1987,0.56
1988,0.0
1989,0.0
1990,0.32
1991,0.08
1992,0.0
1993,0.0
1994,0.08
1995,0.64
1996,0.12
1997,0.0
1998,0.68
1999,0.0
2000,0.04
2001,0.0
2002,0.12
2003,0.0
2004,0.04
2005,0.08
2006,0.76
2007,0.08
2008,0.96
2009,0.76
2010,0.0
2011,0.0
2012,0.24
2013,0.04
2014,0.08
2015,0.8
2016,0.68
2017,0.0
2018,0.08
2019,0.0
2020,0.0
2021,0.16
2022,0.6
2023,0.36
2024,0.2
2025,0.48
2026,0.32
2027,0.04
2028,0.2
2029,0.0
2030,0.48
2031,0.72
2032,0.0
2033,0.0
2034,0.0
2035,0.32
2036,0.24
2037,0.08
2038,0.4
2039,0.0
2040,0.48
2041,0.04
2042,0.0
2043,0.72
2044,0.72
2045,0.92
2046,0.04
2047,0.16
2048,0.0
2049,0.08
2050,0.0
2051,0.12
2052,0.4
2053,0.16
2054,0.08
2055,0.0
2056,0.6
2057,0.0
2058,0.2
2059,0.0
2060,0.28
2061,0.0
2062,0.0
2063,1.0
2064,0.32
2065,0.04
2066,0.0
2067,0.12
2068,0.0
2069,0.0
2070,0.0
2071,0.64
2072,0.12
2073,0.0
2074,0.2
2075,0.0
2076,0.44
2077,0.92
2078,0.12
2079,0.32
2080,0.0
2081,0.48
2082,0.84
2083,0.0
2084,0.64
2085,0.04
2086,0.0
2087,0.36
2088,0.0
2089,0.52
2090,0.36
2091,0.04
2092,0.0
2093,0.0
2094,0.12
2095,0.04
2096,0.0
2097,0.0
2098,0.04
2099,0.64
2100,0.04
2101,0.76
2102,0.08
2103,0.52
2104,0.0
2105,0.04
2106,0.2
2107,0.24
2108,0.0
2109,0.72
2110,0.04
2111,0.0
2112,0.0
2113,0.16
2114,0.76
2115,0.0
2116,0.04
2117,0.0
2118,0.0
2119,0.2
2120,0.0
2121,0.56
2122,0.2
2123,0.2
2124,0.8
2125,0.0
2126,0.04
2127,0.04
2128,0.28
2129,0.92
2130,0.8
2131,0.0
2132,0.32
2133,0.64
2134,0.56
2135,0.0
2136,0.12
2137,0.0
2138,0.0
2139,0.4
2140,0.24
