age,education-num,sex,capital-gain,capital-loss,hours-per-week,wage,marital_status_num,occupation_com_House_Services,occupation_com_Other,occupation_com_Professional,occupation_com_Specialty,occupation_com_Tech/sales,workclass_com_ Government,workclass_com_ Other,workclass_com_ Private,workclass_com_ Self-employed,cap_gain_binary,cap_loss_binary,gdp_pc
40,16,1,0,0,60,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
54,9,1,0,0,20,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
35,5,1,0,0,40,0,1,0,0,0,1,0,1,0,0,0,0,0,41524.09
43,7,1,0,2042,40,0,1,0,0,0,1,0,0,0,1,0,0,1,41524.09
59,9,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
56,13,1,0,0,40,1,1,0,0,0,0,1,1,0,0,0,0,0,41524.09
19,9,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
54,10,1,0,0,60,1,1,0,1,0,0,0,0,1,0,0,0,0,12157.0215
39,9,1,0,0,80,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
49,9,1,0,0,40,0,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
23,12,1,0,0,52,0,0,0,0,0,0,1,1,0,0,0,0,0,41524.09
20,10,1,0,0,44,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
45,13,1,0,1408,40,0,0,0,0,1,0,0,0,0,1,0,0,1,41524.09
30,10,1,0,0,40,0,1,0,1,0,0,0,1,0,0,0,0,0,41524.09
22,10,1,0,0,15,0,1,0,1,0,0,0,1,0,0,0,0,0,41524.09
48,7,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,12173.16
21,10,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
19,9,1,0,0,25,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
31,10,1,0,0,38,1,1,0,0,0,0,1,0,0,1,0,0,0,12157.0215
48,12,1,0,0,40,0,1,0,0,1,0,0,0,0,0,1,0,0,41524.09
31,5,1,0,0,43,0,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
53,13,1,0,0,40,0,1,0,0,1,0,0,0,0,0,1,0,0,41524.09
24,13,1,0,0,50,0,1,0,0,0,0,1,0,0,1,0,0,0,41524.09
49,9,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
25,9,1,0,0,35,0,0,1,0,0,0,0,0,0,1,0,0,0,41524.09
57,13,1,0,0,40,1,1,0,0,1,0,0,1,0,0,0,0,0,41524.09
53,9,1,0,0,38,0,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
44,14,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
41,11,1,0,0,40,0,1,0,0,0,1,0,1,0,0,0,0,0,41524.09
29,11,1,0,0,43,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
25,10,1,0,0,40,0,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
18,9,1,0,0,30,0,0,0,1,0,0,0,0,0,1,0,0,0,12157.0215
47,15,1,0,1902,60,1,1,0,0,1,0,0,0,0,1,0,0,1,3341.8594000000007
50,13,1,0,0,55,1,0,0,0,1,0,0,1,0,0,0,0,0,41524.09
47,9,1,0,0,60,0,0,0,0,1,0,0,0,0,0,1,0,0,41524.09
43,10,1,0,0,40,1,1,0,0,0,0,1,0,0,1,0,0,0,41524.09
46,3,1,0,0,40,0,1,0,0,0,1,0,0,0,1,0,0,0,13701.804500000002
35,11,1,0,0,40,0,1,0,1,0,0,0,0,0,1,0,0,0,12173.16
41,9,1,0,0,48,0,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
30,9,1,5013,0,40,0,1,0,0,0,1,0,0,0,1,0,1,0,41524.09
30,13,1,2407,0,40,0,1,0,0,0,0,1,0,0,1,0,1,0,41524.09
32,4,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,12157.0215
48,9,1,0,0,40,0,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
42,16,1,0,0,45,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
29,10,1,0,0,58,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
36,9,1,0,0,40,0,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
28,10,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
53,9,1,0,0,40,1,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
49,10,1,0,0,50,1,1,0,0,1,0,0,0,0,0,1,0,0,41524.09
25,10,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,41524.09
19,10,1,0,0,32,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
31,13,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
29,13,1,0,0,70,1,1,0,0,0,0,1,0,0,0,1,0,0,41524.09
23,10,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
79,10,1,0,0,20,0,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
27,9,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,13701.804500000002
40,12,1,0,0,40,0,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
67,6,1,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,41524.09
18,7,1,0,0,22,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
31,4,1,0,0,40,0,1,0,0,0,1,0,1,0,0,0,0,0,41524.09
18,9,1,0,0,30,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
52,13,1,0,0,40,0,1,0,1,0,0,0,0,0,1,0,0,0,12492.097
46,9,1,0,0,40,0,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
59,9,1,0,0,48,0,1,0,0,0,0,1,0,0,1,0,0,0,41524.09
44,9,1,14344,0,40,1,0,0,0,0,1,0,0,0,1,0,1,0,41524.09
53,9,1,0,0,35,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
49,9,1,0,0,40,1,1,0,0,0,0,1,1,0,0,0,0,0,41524.09
33,14,1,0,0,50,0,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
30,5,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
43,16,1,0,0,50,1,0,0,0,1,0,0,1,0,0,0,0,0,41524.09
57,11,1,0,0,40,0,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
37,10,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
28,10,1,0,0,25,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
30,9,1,0,1573,35,0,1,0,0,0,0,1,0,0,1,0,0,1,12157.0215
34,13,1,0,0,40,1,1,0,0,0,0,1,1,0,0,0,0,0,41524.09
29,10,1,0,0,50,0,0,1,0,0,0,0,1,0,0,0,0,0,41524.09
48,16,1,0,1902,60,1,1,0,0,1,0,0,0,0,0,1,0,1,41524.09
37,10,1,0,0,48,1,1,0,0,0,0,1,0,0,1,0,0,0,41524.09
48,12,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,29865.442000000006
32,9,1,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,0,41524.09
76,14,1,0,0,40,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
44,13,1,15024,0,60,1,1,0,0,1,0,0,0,0,1,0,1,0,41524.09
47,14,1,0,0,50,0,0,0,0,1,0,0,0,0,0,1,0,0,41524.09
20,10,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
29,9,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
32,9,1,7688,0,40,1,1,0,0,0,1,0,0,0,0,1,1,0,41524.09
17,6,1,34095,0,32,0,0,0,1,0,0,0,0,1,0,0,1,0,41524.09
30,7,1,0,0,40,0,0,1,0,0,0,0,0,0,1,0,0,0,41524.09
31,9,1,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,0,41524.09
42,9,1,0,0,40,0,1,1,0,0,0,0,0,0,1,0,0,0,41524.09
24,13,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
38,15,1,0,0,40,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
56,9,1,0,1887,50,1,1,0,1,0,0,0,0,0,0,1,0,1,34365.786
28,10,1,4064,0,25,0,1,0,0,0,0,1,0,0,1,0,1,0,41524.09
36,9,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
53,5,1,0,0,50,0,1,1,0,0,0,0,0,0,1,0,0,0,41524.09
56,10,1,0,0,50,0,1,0,0,0,0,1,0,0,0,1,0,0,41524.09
49,11,1,0,0,40,1,1,0,0,0,1,0,1,0,0,0,0,0,41524.09
55,10,1,0,0,56,0,1,0,0,0,0,1,0,0,1,0,0,0,41524.09
22,9,1,0,0,41,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
21,10,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
40,13,1,0,0,60,0,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
30,13,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,34025.8165
29,13,1,0,0,50,1,1,0,0,1,0,0,1,0,0,0,0,0,41524.09
19,10,1,0,0,35,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
47,13,1,0,0,40,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
20,10,1,0,1719,28,0,0,0,1,0,0,0,0,0,1,0,0,1,41524.09
31,12,1,0,0,40,1,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
35,9,1,0,0,40,0,1,0,1,0,0,0,0,1,0,0,0,0,41524.09
39,10,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
28,12,1,0,0,60,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
24,9,1,0,1762,40,0,0,0,1,0,0,0,0,0,1,0,0,1,41524.09
38,9,1,4386,0,35,0,1,0,0,0,1,0,0,0,0,1,1,0,41524.09
37,13,1,0,0,50,0,1,0,0,0,0,1,0,0,1,0,0,0,41524.09
46,12,1,0,0,36,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
38,14,1,0,0,40,1,1,0,0,1,0,0,1,0,0,0,0,0,11039.1745
43,9,1,0,0,60,0,1,0,0,0,1,0,0,0,0,1,0,0,41524.09
27,11,1,0,0,35,0,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
20,10,1,0,0,20,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
49,10,1,0,0,40,1,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
61,9,1,0,0,40,0,1,0,0,0,1,0,0,0,0,1,0,0,41524.09
27,10,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
19,10,1,0,0,30,0,0,0,1,0,0,0,0,0,1,0,0,0,13701.804500000002
45,11,1,0,1564,40,1,0,0,0,1,0,0,0,0,1,0,0,1,41524.09
70,10,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
31,9,1,0,0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
22,10,1,0,0,24,0,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
36,9,1,0,0,24,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
64,7,1,0,2179,40,0,1,0,0,0,1,0,0,0,1,0,0,1,41524.09
43,10,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,41524.09
47,10,1,0,0,38,0,0,0,1,0,0,0,1,0,0,0,0,0,13701.804500000002
34,9,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
33,13,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,4118.766
21,9,1,0,0,35,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
52,9,1,0,0,45,1,0,0,1,0,0,0,0,1,0,0,0,0,41524.09
48,9,1,0,0,46,0,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
23,13,1,0,0,40,0,0,1,0,0,0,0,0,0,1,0,0,0,41524.09
71,10,1,0,1816,2,0,0,0,0,0,0,1,0,0,0,1,0,1,41524.09
29,9,1,0,0,60,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
42,13,1,0,0,50,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
68,2,1,0,0,20,0,0,0,1,0,0,0,0,1,0,0,0,0,41524.09
25,9,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
44,14,1,0,0,40,0,0,0,0,1,0,0,0,0,0,1,0,0,41524.09
28,9,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,29865.442000000006
45,14,1,0,0,40,1,1,0,0,0,0,1,0,0,0,1,0,0,41524.09
36,10,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,13701.804500000002
39,12,1,0,0,42,0,0,0,0,1,0,0,1,0,0,0,0,0,41524.09
46,14,1,0,0,40,0,0,0,0,0,0,1,1,0,0,0,0,0,41524.09
18,7,1,0,0,16,0,0,1,0,0,0,0,0,0,1,0,0,0,41524.09
66,11,1,0,0,20,0,0,0,0,1,0,0,1,0,0,0,0,0,41524.09
27,9,1,0,1980,40,0,0,0,1,0,0,0,0,0,1,0,0,1,41524.09
28,9,1,0,0,40,0,1,0,0,0,0,1,1,0,0,0,0,0,41524.09
51,10,1,0,1977,40,1,1,0,0,0,0,1,0,0,1,0,0,1,41524.09
27,13,1,0,0,50,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
28,13,1,0,0,40,1,1,0,0,1,0,0,1,0,0,0,0,0,41524.09
27,9,1,0,0,25,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
21,9,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
34,9,1,0,0,40,0,0,1,0,0,0,0,0,0,1,0,0,0,41524.09
18,9,1,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
33,13,1,0,0,65,0,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
44,10,1,0,0,38,1,1,0,0,1,0,0,1,0,0,0,0,0,41524.09
43,10,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
30,10,1,0,0,45,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
40,4,1,0,0,40,1,1,0,0,0,1,0,0,0,1,0,0,0,13701.804500000002
37,10,1,0,0,42,1,1,0,1,0,0,0,1,0,0,0,0,0,41524.09
34,9,1,0,0,40,0,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
41,13,1,0,0,40,0,0,0,0,1,0,0,0,0,0,1,0,0,41524.09
53,13,1,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,41524.09
31,14,1,0,0,50,0,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
58,16,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,41524.09
38,10,1,0,0,28,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
24,10,1,0,0,40,0,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
41,13,1,0,0,40,0,1,0,0,0,1,0,1,0,0,0,0,0,41524.09
47,10,1,0,0,45,0,1,0,0,0,0,1,0,0,1,0,0,0,41524.09
41,13,1,0,0,24,0,1,0,0,0,0,1,1,0,0,0,0,0,41524.09
23,3,1,0,0,40,0,1,0,0,0,1,0,0,0,1,0,0,0,13701.804500000002
36,10,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
40,14,1,14084,0,55,1,0,0,0,1,0,0,1,0,0,0,1,0,41524.09
35,14,1,7298,0,40,1,1,0,0,1,0,0,0,0,1,0,1,0,41524.09
24,9,1,0,0,40,0,0,0,0,0,0,1,0,0,0,1,0,0,41524.09
26,14,1,0,1876,40,0,0,0,0,1,0,0,0,0,1,0,0,1,41524.09
19,9,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,33838.861000000004
51,13,1,0,0,50,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
42,10,1,0,1340,40,0,0,0,0,1,0,0,1,0,0,0,0,1,41524.09
37,9,1,0,0,35,0,0,0,1,0,0,0,1,0,0,0,0,0,41524.09
18,7,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
36,13,1,7298,0,36,1,1,0,1,0,0,0,0,0,1,0,1,0,41524.09
35,9,1,0,0,60,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
58,9,1,15024,0,35,1,1,0,0,0,0,1,0,0,0,1,1,0,41524.09
17,7,1,0,0,12,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
44,9,1,0,0,40,0,1,0,0,0,1,0,1,0,0,0,0,0,41524.09
37,9,1,0,0,40,1,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
35,10,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
60,9,1,0,0,40,0,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
54,4,1,0,0,40,1,1,0,0,0,1,0,0,0,0,1,0,0,41524.09
37,13,1,0,0,60,1,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
50,12,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
38,13,1,0,0,50,0,1,0,0,0,0,1,0,0,1,0,0,0,12504.5225
45,13,1,0,0,55,0,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
25,6,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
31,10,1,0,0,40,0,1,1,0,0,0,0,0,0,1,0,0,0,41524.09
64,2,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,41524.09
90,9,1,0,2206,40,0,0,0,1,0,0,0,0,0,1,0,0,1,41524.09
54,9,1,0,0,20,0,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
53,1,1,0,0,35,0,0,0,0,0,1,0,1,0,0,0,0,0,41524.09
18,9,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
60,6,1,0,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,41524.09
66,9,1,1409,0,50,0,1,0,0,0,1,0,0,0,0,1,1,0,41524.09
75,11,1,0,0,20,0,0,0,1,0,0,0,0,0,1,0,0,0,7920.87085
65,9,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
35,7,1,3674,0,40,0,0,0,0,0,1,0,0,0,1,0,1,0,41524.09
41,9,1,0,0,38,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
25,10,1,0,0,42,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
33,10,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
28,15,1,0,0,55,1,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
59,9,1,0,0,40,0,1,0,1,0,0,0,1,0,0,0,0,0,41524.09
40,10,1,0,0,38,0,0,0,1,0,0,0,1,0,0,0,0,0,41524.09
41,13,1,0,0,50,1,1,0,0,1,0,0,0,0,1,0,0,0,11039.1745
38,14,1,0,0,70,1,1,0,0,1,0,0,1,0,0,0,0,0,41524.09
23,9,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
40,13,1,0,0,40,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
41,9,1,0,0,20,0,1,0,1,0,0,0,0,0,0,1,0,0,41524.09
24,12,1,0,0,50,0,1,0,0,0,0,1,1,0,0,0,0,0,41524.09
20,10,1,0,0,20,0,0,0,1,0,0,0,0,1,0,0,0,0,41524.09
38,10,1,0,1741,40,0,0,0,0,0,1,0,0,0,1,0,0,1,41524.09
56,9,1,0,0,35,0,1,0,1,0,0,0,0,0,1,0,0,0,12157.0215
58,9,1,0,0,45,1,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
32,9,1,0,0,34,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
40,12,1,0,1977,60,1,1,0,0,0,0,1,0,0,1,0,0,1,41524.09
45,9,1,0,0,40,0,1,0,1,0,0,0,0,0,1,0,0,0,12157.0215
41,15,1,0,0,40,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
42,13,1,0,0,40,0,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
59,6,1,0,0,30,0,0,0,1,0,0,0,1,0,0,0,0,0,41524.09
19,10,1,0,0,40,0,0,0,1,0,0,0,1,0,0,0,0,0,41524.09
58,10,1,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
42,9,1,0,0,40,1,1,0,0,0,1,0,0,0,0,1,0,0,1125.91535
20,9,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
32,9,1,0,0,30,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
45,11,1,0,0,45,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
50,4,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
36,13,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
45,9,1,0,0,60,0,1,0,0,0,0,1,0,0,1,0,0,0,41524.09
17,7,1,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
59,10,1,4064,0,40,0,1,0,0,0,0,1,0,0,1,0,1,0,41524.09
26,7,1,0,0,40,0,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
37,10,1,0,0,75,1,1,0,0,1,0,0,0,0,0,1,0,0,7939.45145
19,10,1,0,0,24,0,0,0,1,0,0,0,0,1,0,0,0,0,34365.786
64,9,1,0,0,40,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
33,13,1,0,0,45,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
33,9,1,0,0,40,1,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
61,9,1,0,0,40,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
17,5,1,1055,0,24,0,0,0,1,0,0,0,0,0,1,0,1,0,41524.09
50,14,1,2407,0,98,0,1,0,0,0,1,0,0,0,0,1,1,0,41524.09
27,14,1,0,0,35,0,0,0,0,1,0,0,1,0,0,0,0,0,41524.09
30,9,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
43,9,1,0,0,40,0,1,1,0,0,0,0,0,0,1,0,0,0,41524.09
44,10,1,7298,0,40,1,1,0,0,0,1,0,0,0,1,0,1,0,41524.09
35,10,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
25,10,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
24,10,1,7298,0,48,1,1,0,0,0,1,0,0,0,1,0,1,0,41524.09
22,13,1,0,0,15,0,0,0,0,1,0,0,0,0,1,0,0,0,34025.8165
42,10,1,5178,0,40,1,1,0,0,0,1,0,1,0,0,0,1,0,41524.09
34,12,1,0,0,45,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
60,13,1,0,0,42,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
21,9,1,0,0,40,0,0,1,0,0,0,0,0,0,1,0,0,0,41524.09
57,14,1,15024,0,40,1,1,0,0,0,0,1,1,0,0,0,1,0,41524.09
41,15,1,0,0,60,1,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
50,10,1,0,0,45,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
25,13,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
50,4,1,0,0,40,0,1,0,0,0,1,0,0,0,1,0,0,0,7429.8225
36,13,1,0,0,45,0,1,0,0,1,0,0,0,0,1,0,0,0,41524.09
31,9,1,0,0,40,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
29,13,1,0,0,56,0,0,0,0,0,0,1,1,0,0,0,0,0,41524.09
21,10,1,0,0,45,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
27,13,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
65,9,1,0,0,16,0,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
37,13,1,0,0,60,0,0,0,0,0,0,1,0,0,0,1,0,0,41524.09
39,14,1,3464,0,40,0,1,0,1,0,0,0,0,1,0,0,1,0,12157.0215
24,9,1,0,0,40,0,0,0,0,0,1,0,0,0,1,0,0,0,41524.09
38,9,1,0,0,80,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
48,13,1,7688,0,40,1,1,0,1,0,0,0,0,0,1,0,1,0,41524.09
21,10,1,0,0,25,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
31,9,1,0,0,45,1,1,0,0,0,1,0,0,0,1,0,0,0,41524.09
55,9,1,4386,0,40,1,1,0,0,0,0,1,0,0,1,0,1,0,41524.09
24,10,1,0,0,40,0,1,0,1,0,0,0,0,0,1,0,0,0,1978.6446
43,9,1,0,0,40,0,0,0,1,0,0,0,0,0,1,0,0,0,41524.09
26,12,1,0,0,45,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
46,12,1,0,0,33,0,0,0,0,1,0,0,0,0,1,0,0,0,41524.09
35,12,1,0,0,40,1,1,0,1,0,0,0,0,0,1,0,0,0,41524.09
41,10,1,0,0,54,1,1,0,0,0,1,0,0,0,0,1,0,0,41524.09
26,13,1,0,0,40,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
34,14,1,7298,0,35,1,1,0,0,1,0,0,0,0,1,0,1,0,16100.0
19,10,1,0,0,25,0,0,0,1,0,0,0,0,1,0,0,0,0,41524.09
36,13,1,0,0,40,1,0,0,0,1,0,0,0,0,0,1,0,0,41524.09
22,10,1,0,0,15,0,0,0,0,0,0,1,0,0,1,0,0,0,41524.09
